epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7216,1.45621,2.89202,1.47859,0.03556,0.90566,0.41403,0.24442,0.92,2.71849,1.16481,0.00014,0.00014,0.00014
2,34.9332,1.42777,2.50736,1.46311,0.03667,0.93396,0.44669,0.28461,0.9926,2.63321,1.08175,0.0002406,0.0002406,0.0002406
3,53.4591,1.26078,2.11467,1.31944,0.03914,0.60377,0.43156,0.25496,1.26251,2.57746,1.23587,0.00027784,0.00027784,0.00027784
4,73.4768,1.29736,1.92087,1.33328,1,0.24541,0.44406,0.26417,1.32695,2.53658,1.26096,0.00025172,0.00025172,0.00025172
5,91.9007,1.19473,1.65555,1.23624,0.91504,0.30488,0.46373,0.28882,1.23449,2.41703,1.19257,0.00016224,0.00016224,0.00016224
